time,goal_position,position,goal_velocity,velocity
9.044,1.097938,1.10685,0.09036,0.09219
9.087,1.100987,1.110769,0.089,0.090278
9.105,1.10399,1.112386,0.08764,0.089486
9.152,1.106947,1.116539,0.08628,0.08743
9.195,1.109857,1.120255,0.08492,0.085564
9.236,1.112722,1.123807,0.08356,0.083765
9.275,1.11554,1.126956,0.0822,0.082119
9.319,1.118392,1.130524,0.0808,0.080238
9.321,1.121037,1.130684,0.07948,0.080153
9.362,1.123716,1.133932,0.07812,0.078417
9.379,1.126349,1.135257,0.07676,0.077701
9.418,1.128935,1.138177,0.0754,0.076115
9.461,1.131476,1.141481,0.07404,0.074253
9.504,1.13397,1.144631,0.07268,0.072422
9.542,1.136418,1.14735,0.07132,0.070825
9.588,1.13882,1.150629,0.06996,0.068876
9.59,1.141175,1.150698,0.0686,0.068835
9.629,1.143485,1.153348,0.06724,0.06724
9.651,1.145748,1.154816,0.06588,0.066368
9.69,1.147965,1.157371,0.06452,0.064852
9.737,1.150135,1.160373,0.06316,0.063046
9.779,1.152259,1.162981,0.0618,0.061328
9.82,1.154338,1.165339,0.06044,0.059752
9.864,1.156369,1.168099,0.05908,0.057857
9.865,1.158355,1.168099,0.05772,0.057857
9.905,1.160294,1.170378,0.05636,0.056253
9.924,1.162187,1.171383,0.055,0.055537
9.963,1.164088,1.173569,0.0536,0.053896
10.006,1.165835,1.175844,0.05228,0.052115
10.047,1.167589,1.177943,0.05092,0.050463
10.09,1.169298,1.180075,0.04956,0.048826
10.132,1.170959,1.182089,0.0482,0.047245
10.134,1.172575,1.182183,0.04684,0.047171
10.175,1.174145,1.18408,0.04548,0.045535
10.195,1.175668,1.184981,0.04412,0.044741
10.236,1.177145,1.18665,0.04276,0.043243
10.28,1.178575,1.188636,0.0414,0.041426
10.32,1.17996,1.190259,0.04004,0.039898
